,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
182,Barry,MI,43.15,63.40,30.10,30265,19197,9109, 39.67 ,65.40,32.90,35914,23473,11804,42.59513984,-85.30834519,803,6,0.23,59607,29958,29649,2.7,94.6,0.4,0.2,0.5,0,45486,57312,27166,9.3,29,16.4,22.6,12.5,19.5,6.1,0.1,6.2,,391.41,5483.65
183,Bay,MI,75.47,53.50,40.90,52932,28327,21641, 67.37 ,54.70,43.70,60985,33347,26653,43.70639106,-83.98731479,1602,65,2.48,105350,51875,53475,5.2,90.4,1.5,0.2,0.6,0,82835,45983,25462,16.3,29.4,20.4,25,8.8,16.4,5.5,0.1,7.4,,664.65,9311.69
184,Benzie,MI,14.57,54.20,40.20,10221,5539,4108, 13.54 ,53.80,44.70,12259,6600,5480,44.63899297,-86.01608482,145,2,0.08,17462,8694,8768,2.4,93.9,0.3,1.4,0.4,0,14050,53185,26790,10,31,20.5,22.9,13.4,12.2,6.9,0.2,6.5,,133.60,1871.81
185,Berrien,MI,102.49,53.80,41.00,71882,38646,29496, 91.00 ,52.80,45.40,82378,43518,37438,41.95447397,-86.4131308,2985,86,3.28,154948,75835,79113,5.2,75.1,14.6,0.3,1.9,0,115590,47132,27505,17.2,34.2,18.5,22.3,9,16,5.9,0.2,7.3,,897.80,12578.15
186,Branch,MI,23.51,66.90,28.70,16490,11025,4740, 22.69 ,68.50,30.00,20541,14067,6161,41.91600556,-85.05929476,973,11,0.42,43543,22517,21026,4.5,90.9,2.3,0.3,0.5,0,32719,48192,22977,15.9,22.8,18.4,22.1,10.3,26.5,6.6,0.2,4.6,,223.87,3136.37
187,Calhoun,MI,83.82,53.60,41.10,58786,31489,24154, 72.43 ,54.80,43.30,65568,35900,28417,42.24633834,-85.00493569,3275,70,2.67,134327,65652,68675,5,78.3,10.6,0.6,2.1,0,100589,46213,24859,17.4,29,19.6,21.4,7.5,22.5,4.9,0.1,7.4,,714.59,10011.46
188,Cass,MI,33.18,61.20,31.20,23272,14241,7270, 28.97 ,63.60,34.80,26221,16686,9122,41.91522292,-85.99405727,1103,24,0.92,51397,25861,25536,3.7,86.4,4.8,1.1,0.8,0,40105,50699,28019,13.6,28.6,15,21,11.6,23.7,5.3,0.1,7.8,,285.77,4003.64
189,Charlevoix,MI,20.77,59.50,35.30,14567,8674,5137, 18.78 ,57.90,40.80,17000,9841,6939,45.37790017,-85.19614053,220,4,0.15,26160,12868,13292,1.8,94,0.4,1.2,0.4,0.1,20708,51567,31730,11.6,30.7,19.9,23.1,10.4,15.9,8.6,0.4,6.2,,185.27,2595.70
190,Cheboygan,MI,19.46,63.60,31.50,13647,8680,4302, 17.51 ,64.20,34.30,15849,10171,5435,45.44787015,-84.50122149,187,2,0.08,25475,12680,12795,1.3,92.2,0.8,2,0.4,0,20913,42876,24956,16.8,26.8,21.1,24.4,13.9,13.8,7.5,0.4,10.7,,172.73,2419.96
191,Chippewa,MI,22.01,59.10,34.80,15434,9120,5378, 19.53 ,60.40,37.60,17675,10682,6651,46.29552653,-84.54353449,187,0,0.00,38023,20948,17075,1.8,70.1,6.4,13.9,1,0.1,30374,44030,21958,17.1,29.1,27,23.5,7.6,12.7,7,0.6,9,,192.63,2698.77
192,Clare,MI,19.09,63.60,31.80,13385,8507,4250, 17.98 ,66.70,31.90,16280,10860,5200,43.98794227,-84.8481986,319,14,0.53,30597,15148,15449,1.9,95.1,0.5,0.5,0.3,0,24405,35913,21198,23.6,25.1,21.6,22.6,12.4,18.3,9.3,0.5,11.5,,177.43,2485.77
193,Clinton,MI,57.84,53.30,40.70,40564,21635,16490, 52.92 ,52.40,45.80,47902,25095,21963,42.94400871,-84.60145248,1297,16,0.61,77321,38231,39090,4.4,90.2,1.7,0.1,1.5,0,58317,64903,32792,10.1,40.4,15.7,22.7,8.7,12.4,5.8,0.2,4.3,,522.06,7314.07
194,Crawford,MI,9.74,63.70,30.90,6833,4354,2110, 8.47 ,64.60,34.10,7665,4955,2612,44.68255561,-84.61006219,157,5,0.19,13821,6953,6868,1.8,95,0.7,0.5,0.6,0.1,11151,42666,22891,16.4,26.1,22.9,22.5,11,17.4,7.1,0.5,10.4,,83.54,1170.36
195,Delta,MI,26.33,60.20,34.80,18467,11112,6431, 23.37 ,62.40,36.00,21154,13206,7605,45.9048491,-86.9080745,1397,38,1.45,36395,18084,18311,1.2,93.2,0.3,1.8,0.4,0,28843,44639,25582,14.4,28.1,18,23.6,10.9,19.4,5.2,0.4,6.5,,230.55,3229.97
196,Dickinson,MI,18.74,65.30,29.90,13140,8580,3923, 14.66 ,63.80,34.40,13268,8469,4569,46.00999672,-87.86961634,760,21,0.80,25694,12819,12875,1.4,95.6,0.6,0.8,0.6,0,20460,45681,25998,15.2,35.4,17.1,20.9,11.6,15.1,4.9,0.3,6,,144.60,2025.87
197,Eaton,MI,79.40,49.60,44.10,55686,27608,24534, 71.20 ,49.30,48.60,64451,31797,31297,42.59599185,-84.83740035,1304,11,0.42,108586,53065,55521,5.2,83.4,6.5,0.5,2.1,0,83282,59244,30064,10.9,34.2,16.5,24.9,8.2,16.2,4.6,0.1,5.8,,702.42,9840.91
198,Emmet,MI,26.77,56.50,37.10,18774,10616,6972, 24.50 ,54.70,43.60,22176,12135,9662,45.52625509,-84.89083249,332,4,0.15,32978,16359,16619,1.6,91.4,0.5,2.2,0.6,0.1,26034,51475,31356,10.7,35,22,23,10.3,9.8,8.6,0.2,6.1,,241.69,3386.02
199,Genesee,MI,279.66,42.90,52.40,196135,84174,102744, 246.31 ,44.50,53.90,222969,99199,120082,43.02244215,-83.70589709,7352,343,13.09,410881,198115,212766,3.3,72.5,19.8,0.4,1,0,312137,45231,25180,20,31.5,19.5,24.2,8.3,16.5,5,0.2,10.8,,2430.03,34044.75
200,Gladwin,MI,17.78,65.10,30.40,12472,8124,3794, 16.13 ,67.70,31.00,14603,9893,4524,43.98901072,-84.38774817,240,2,0.08,25324,12719,12605,1.5,96.2,0.4,0.5,0.5,0,20362,40871,23491,20.2,24.7,17.8,22.6,14.9,20,7.4,0.8,7.4,,159.15,2229.71
201,Gogebic,MI,10.43,55.00,40.00,7313,4019,2925, 9.15 ,55.60,43.20,8279,4600,3573,46.40862701,-89.69377193,462,11,0.42,15577,8445,7132,1.3,89.6,4.2,2.7,0.3,0.1,13085,36689,22297,20.4,27.3,25,16.6,12.1,19,5.2,0.2,6.7,,90.23,1264.11
202,Grand Traverse,MI,73.37,53.30,40.70,51460,27412,20964, 66.53 ,50.60,47.60,60226,30502,28682,44.69565625,-85.55585247,874,14,0.53,91222,44860,46362,2.7,92.6,1.1,0.9,0.6,0.1,71300,58229,31701,9.7,36.7,18.4,25.8,7.7,11.3,7.5,0.3,5.4,,656.37,9195.80
203,Gratiot,MI,23.44,60.10,34.50,16442,9878,5665, 21.15 ,63.20,35.00,19148,12102,6693,43.29265605,-84.60505416,594,17,0.65,41319,21937,19382,5.8,86.5,5.6,0.2,0.3,0,32704,42256,20597,20.5,29.9,20.8,20,9.8,19.5,6.8,0.1,7.4,,208.68,2923.68
204,Hillsdale,MI,28.35,70.90,24.10,19880,14094,4799, 25.73 ,73.20,25.30,23288,17037,5883,41.88753639,-84.59312019,579,29,1.11,45909,22902,23007,2.2,95.1,0.7,0.4,0.4,0,35460,46160,23831,17,27.9,16.5,19.5,10.1,26,7.1,0.2,6.1,,253.80,3555.80
205,Houghton,MI,22.28,54.20,38.50,15623,8475,6018, 20.48 ,56.00,41.80,18540,10380,7755,46.89988536,-88.68495385,986,9,0.34,36333,19713,16620,1.5,92.4,0.7,0.3,2.9,0,27830,41379,21462,21.4,39.4,22.1,20.5,9.2,8.8,5.1,0.3,6.8,,202.06,2830.84
206,Huron,MI,22.60,67.10,28.90,15848,10629,4579, 19.36 ,68.20,30.50,17523,11949,5349,43.83353985,-83.04078453,292,7,0.27,31750,15777,15973,2.3,95.5,0.4,0.3,0.6,0,25336,45191,26352,13.6,28.9,16.3,20.9,13.4,20.5,8.5,0.2,5.8,,190.97,2675.56
207,Ingham,MI,190.32,33.20,60.90,133478,44354,81266, 159.96 ,32.90,65.10,144797,47640,94221,42.59716886,-84.37472069,4928,69,2.63,286185,139183,147002,7.6,70.6,10.6,0.3,6,0,213651,49109,27399,20.9,40.8,19.2,22.8,5.3,11.8,4.7,0.2,8.1,,1578.07,22108.80
208,Ionia,MI,37.59,62.10,31.10,26364,16374,8206, 35.57 ,64.10,33.80,32201,20655,10899,42.94502238,-85.07413319,834,8,0.31,64147,34130,30017,4.7,88.3,4.7,0.2,0.4,0,48782,51980,22715,13.1,27,17.3,23.1,11.7,20.9,5.8,0.2,6.2,,350.94,4916.72
209,Iosco,MI,19.03,62.50,32.50,13349,8344,4344, 17.00 ,63.40,34.90,15386,9760,5371,44.35486835,-83.63484895,314,16,0.61,25317,12570,12747,2,94.3,0.7,0.8,0.6,0,20797,41414,24099,16.9,23.4,18.9,22.9,14.7,20,8.7,0.4,9.6,,167.68,2349.26
210,Iron,MI,8.43,62.20,33.90,5910,3675,2004, 7.51 ,62.00,36.70,6795,4216,2493,46.20974132,-88.53136251,475,26,0.99,11291,5576,5715,1.8,95,0.7,1.2,0.5,0,9356,36773,23658,14.2,23.3,23.5,23.5,15.7,14,7.7,0.4,5.7,,74.06,1037.52
211,Isabella,MI,36.14,48.70,45.00,25344,12338,11404, 32.49 ,50.40,47.80,29409,14815,14072,43.64060976,-84.84664923,1142,15,0.57,70572,34338,36234,3.8,85.8,2.5,2.5,1.6,0,56770,42771,22009,27.3,31,25.7,23.5,8,11.8,4.8,0.5,8.4,,320.51,4490.41
212,Jackson,MI,99.19,57.20,37.10,69567,39793,25795, 89.52 ,58.50,39.50,81032,47381,32004,42.24807035,-84.42258681,2004,70,2.67,158989,81200,77789,3.4,85,8.2,0.3,0.7,0,122523,49715,25952,15.2,30.5,18.6,24.4,8.4,18.1,5.4,0.2,7.6,,883.13,12372.64
213,Kalamazoo,MI,179.61,40.50,53.30,125966,51031,67142, 158.37 ,39.60,58.40,143363,56823,83674,42.24542231,-85.53038622,5237,114,4.35,259830,127247,132583,4.7,78,10.6,0.2,2.4,0,196596,51945,29258,16.7,39.3,19,22.6,6.1,13,5.8,0.2,6.6,,1562.44,21889.85
214,Kalkaska,MI,12.72,69.70,25.50,8920,6213,2279, 11.74 ,70.00,28.30,10627,7436,3003,44.68512729,-85.09085699,145,4,0.15,17358,8874,8484,1.8,94.7,0.7,0.6,0.4,0,13495,43431,22822,18.5,20.9,22.5,23.4,16.5,16.7,6.3,0.1,8.7,,115.82,1622.62
215,Kent,MI,436.70,48.30,45.20,306270,147959,138567, 396.83 ,46.00,52.00,359223,165318,186753,43.03197711,-85.54934642,15950,188,7.18,636376,313134,323242,10.3,74.4,9.3,0.3,2.8,0,450147,57302,29433,13.4,36.2,16,23.6,7.3,16.9,4.8,0.1,5.4,,3915.00,54849.14
216,Keweenaw,MI,2.04,57.00,36.90,1429,814,527, 1.72 ,55.40,43.20,1557,862,672,47.63197653,-88.41434263,23,0,0.00,2136,1099,1037,0.7,97.5,1.5,0.2,0.1,0,1770,41118,28700,14.5,33.6,32,16.2,6.7,11.4,3.2,0.4,5.5,,16.97,237.74
217,Lake,MI,7.60,59.30,36.40,5328,3159,1939, 6.99 ,62.30,36.10,6332,3946,2288,43.99050893,-85.802173,68,1,0.04,11669,5965,5704,2.6,84.8,7.6,0.7,0.2,0,9642,32309,18199,25,23,22.9,22.8,9.6,21.8,7.1,0.7,11.6,,69.01,966.82
218,Lapeer,MI,64.34,66.60,28.20,45126,30037,12734, 58.15 ,67.40,31.10,52639,35480,16368,43.09052506,-83.22153148,993,38,1.45,88205,44663,43542,4.6,92,1.3,0.3,0.5,0,68005,56186,26650,9.7,29.5,16.4,21.8,12.4,20,5.3,0.2,7.4,,573.69,8037.36
219,Leelanau,MI,21.04,49.10,45.90,14757,7239,6774, 18.70 ,46.80,51.90,16930,7915,8793,44.94430054,-85.80150326,163,2,0.08,21564,10681,10883,4.2,90.2,0.5,2.5,0.7,0,17569,62646,37061,7.7,35.9,18.3,23.8,12.4,9.5,11.4,0.8,6.3,,184.51,2585.01
220,Lenawee,MI,65.44,57.60,36.50,45895,26428,16750, 59.04 ,59.00,39.10,53448,31539,20916,41.89475156,-84.06603727,1223,20,0.76,98585,49929,48656,7.8,87,2.4,0.3,0.3,0.1,76189,51339,25649,13.7,28.4,18.5,23.4,9.8,19.8,5.4,0.1,5.9,,582.50,8160.88
221,Livingston,MI,150.54,62.20,32.60,105577,65665,34378, 140.47 ,60.50,37.90,127162,76980,48218,42.60302282,-83.91297209,2319,35,1.34,186946,93729,93217,2.3,94.6,0.6,0.2,0.9,0.1,142636,78430,36845,5.9,40,14.7,24.9,9.1,11.3,5.4,0.1,4.6,,1385.88,19416.15
222,Luce,MI,3.67,68.20,26.40,2576,1756,681, 3.43 ,68.00,27.20,3101,2109,842,46.47227431,-85.54471223,78,1,0.04,6406,3753,2653,3.2,78.2,6.4,6.3,0.2,0,5276,41221,19442,19.4,29.5,25.9,23.4,8.4,12.9,3.4,0.3,11.8,,33.80,473.49
223,Mackinac,MI,8.68,61.40,34.20,6088,3740,2085, 7.75 ,61.40,37.50,7015,4304,2632,46.07028979,-85.04980537,171,0,0.00,10836,5474,5362,1.6,73.8,2.3,16.9,0.6,0,8849,42559,26967,15.4,24.6,25.7,23.9,12,13.8,9,0,10.5,,76.45,1071.11
224,Macomb,MI,597.11,53.60,42.10,418773,224589,176238, 548.50 ,53.30,45.40,496523,264535,225561,42.69158356,-82.92752801,19730,1098,41.91,864019,420439,443580,2.5,80.2,10.9,0.2,3.7,0,645252,58175,29740,11.8,34.4,17.6,24.5,7.4,16.1,3.8,0.2,6.6,,5411.37,75813.24
225,Manistee,MI,17.96,54.90,39.50,12598,6915,4979, 16.19 ,56.80,41.70,14654,8321,6107,44.33352407,-86.05626916,154,3,0.11,24432,12697,11735,2.9,89.4,2.8,1.6,0.4,0,19930,44882,24398,14.7,29.4,24.6,22.5,9.8,13.8,7.4,0.5,8,,159.71,2237.49
226,Marquette,MI,46.91,44.50,48.80,32897,14646,16042, 41.38 ,43.50,54.60,37460,16288,20465,46.4338914,-87.64043701,1245,16,0.61,67145,33898,33247,1.4,92.4,1.6,0.8,0.9,0,54460,48491,25550,16.4,32.5,22.9,23.4,11.3,9.9,4.5,0.1,6.3,,408.26,5719.70
227,Mason,MI,20.90,58.00,36.00,14658,8505,5281, 19.05 ,59.20,39.40,17249,10207,6802,43.99509218,-86.24988902,280,2,0.08,28800,14284,14516,4.5,91.7,0.9,0.8,0.5,0,22610,45524,26251,16,30.1,20.2,23.7,9.3,16.6,6.5,0.8,7.6,,187.99,2633.72
228,Mecosta,MI,24.45,60.10,34.00,17149,10305,5827, 23.28 ,62.90,35.00,21077,13265,7373,43.64064262,-85.32463223,615,4,0.15,43181,21802,21379,2.1,91.5,2.5,0.4,0.7,0,34651,43470,21978,22.5,28.1,22.7,21.1,8.3,19.9,6.1,0.3,8.7,,229.71,3218.21
229,Menominee,MI,15.35,62.30,32.90,10765,6704,3539, 13.94 ,64.30,34.20,12622,8120,4314,45.58038692,-87.55370409,776,6,0.23,23389,11834,11555,1.7,93.3,0.3,2.3,0.4,0,18849,44480,26151,13.5,24.8,18.5,21.6,10.5,24.7,5.8,0.2,5.9,,137.56,1927.23
230,Midland,MI,60.43,56.30,36.90,42379,23877,15655, 54.32 ,56.30,41.70,49175,27675,20493,43.64330771,-84.38804374,1179,14,0.53,83489,40954,42535,2.6,91.7,1.4,0.4,2.2,0.1,63543,57117,33013,11.3,39.9,17,21.7,8.8,12.6,5.6,0.2,7,,535.93,7508.45
231,Missaukee,MI,10.41,73.80,21.40,7301,5386,1565, 9.67 ,75.90,22.50,8755,6648,1967,44.33772443,-85.09256478,104,1,0.04,14982,7634,7348,2.7,94.4,0.4,0.6,0.2,0,11397,42370,21805,15.9,24.7,16.8,20.1,17.3,21.1,9.5,0.3,7,,95.42,1336.79
232,Monroe,MI,105.66,58.40,36.20,74101,43255,26859, 96.27 ,60.50,37.80,87148,52710,32975,41.92734151,-83.53749864,2206,42,1.60,149619,73905,75714,3.5,91.5,2.3,0.3,0.6,0,115179,59479,29245,11.2,30.3,17.4,21.2,10.3,20.7,3.9,0.1,5.9,,949.78,13306.48
233,Montcalm,MI,37.87,63.70,29.70,26556,16907,7874, 35.45 ,68.00,30.20,32086,21815,9703,43.31082541,-85.15252824,790,12,0.46,62956,32441,30515,3.4,92,2,0.5,0.5,0.1,48157,44651,21509,17.5,24.5,16.2,23.2,12.9,23.2,6.5,0.3,7,,349.69,4899.16
234,Montmorency,MI,7.14,69.80,25.70,5008,3498,1286, 6.48 ,71.10,27.80,5863,4171,1628,45.0275929,-84.12696227,37,0,0.00,9290,4711,4579,1.3,96.2,0.2,0.8,0,0,7864,39152,23155,15.1,23.9,21.8,23.3,11.2,19.8,9.4,0.3,12.7,,63.90,895.21
235,Muskegon,MI,109.95,46.60,47.50,77114,35962,36640, 101.30 ,48.60,49.60,91701,44544,45508,43.29123859,-86.15176712,2558,84,3.21,172707,85918,86789,5.4,76.5,13.5,0.5,0.5,0,130661,46077,22829,18.5,28,19.7,21.6,8.4,22.3,4.8,0.1,8.9,,999.41,14001.67
236,Newaygo,MI,32.23,67.10,27.50,22605,15174,6212, 30.01 ,69.40,29.00,27164,18864,7874,43.554374,-85.80070107,712,4,0.15,47899,24036,23863,5.8,90.7,1.3,0.6,0.3,0,36306,45645,22735,17.8,25.8,17,21.1,14.5,21.6,6.9,0.3,7.7,,296.05,4147.62
237,Oakland,MI,945.71,43.60,51.70,663255,289127,342976, 852.57 ,42.20,56.20,771769,325916,433982,42.66090111,-83.38595416,26579,1241,47.37,1241860,605231,636629,3.9,72.9,13.6,0.2,6.8,0,907645,73369,40941,9,48.9,13.9,22.8,5.1,9.2,4.8,0.2,5.3,,8411.14,117840.08
238,Oceana,MI,16.97,60.70,33.40,11903,7228,3973, 15.55 ,63.20,35.10,14080,8892,4944,43.64124435,-86.26726673,676,6,0.23,26317,13323,12994,14.5,82.2,1.2,0.8,0.2,0,19131,44382,22185,17.5,26.1,17.7,17.3,15.4,23.5,7.6,0.1,7.7,,153.45,2149.85
239,Ogemaw,MI,14.81,65.70,29.20,10386,6827,3030, 13.15 ,69.30,29.20,11907,8253,3475,44.33481032,-84.12725175,135,5,0.19,20979,10518,10461,2,95,0.3,1.2,0.6,0,16917,38149,22028,18.7,26.1,18.1,27.1,13.1,15.7,6.9,0.1,10,,129.77,1818.06
240,Ontonagon,MI,4.88,60.50,34.40,3420,2069,1175, 4.21 ,61.90,36.50,3810,2358,1391,46.6652262,-89.31390481,127,1,0.04,6072,3104,2968,1.4,95.2,0.3,1,0.1,0.1,5284,36073,22958,15.5,26.3,25.1,20,14.8,13.8,8.9,0.4,10,,41.52,581.74
241,Osceola,MI,15.11,69.20,25.50,10597,7336,2705, 13.63 ,72.40,26.00,12340,8928,3214,43.98992088,-85.32566756,201,1,0.04,23221,11725,11496,1.7,94.9,1,0.8,0.3,0,17762,41099,21090,20.7,23.7,17.7,19.3,12.8,26.5,8.4,0.4,7.2,,134.49,1884.17
242,Oscoda,MI,5.79,70.00,25.70,4062,2843,1044, 5.38 ,71.10,27.50,4874,3466,1342,44.68192279,-84.12939244,60,2,0.08,8304,4266,4038,1.4,95.7,0.6,0.5,0.1,0.1,6683,36833,22343,18.1,21.5,18.4,23.3,13.7,23.2,11.3,0.4,11.9,,53.12,744.20
243,Otsego,MI,17.86,66.00,28.40,12529,8266,3556, 16.30 ,66.30,32.10,14756,9779,4743,45.02085831,-84.59898295,287,12,0.46,24247,11951,12296,1.6,94.7,0.4,0.5,0.5,0,18968,50823,26012,14.9,29.4,19.2,26.3,10.9,14.2,6.5,0,6.4,,160.82,2253.07
244,Ottawa,MI,207.33,62.20,31.80,145405,90456,46276, 185.67 ,59.80,38.40,168074,100511,64566,42.95996803,-85.9969107,5762,78,2.98,280243,138250,141993,9.4,84.3,1.4,0.3,2.7,0,204444,63962,29121,9.5,34.3,15.8,22,8,19.9,4.6,0.1,4.4,,1831.76,25662.93
245,Presque Isle,MI,10.29,62.20,33.30,7215,4486,2400, 9.24 ,63.90,34.80,8360,5343,2912,45.34018577,-83.91498656,81,1,0.04,12854,6419,6435,1.2,95.8,0.5,0.4,0.4,0,10690,43758,24793,14.9,27.5,19.8,20.5,14.5,17.7,9.2,0.3,11.4,,91.11,1276.47
246,Roscommon,MI,18.59,62.50,32.90,13036,8141,4287, 16.59 ,64.40,34.40,15018,9670,5166,44.33473082,-84.61067651,217,6,0.23,23934,11867,12067,1.6,95.3,0.3,0.9,0.2,0,20184,37834,22333,19.8,25.1,19.5,28.4,11.8,15.2,7.1,1,13,,163.67,2293.07
247,Saginaw,MI,134.31,48.30,47.10,94198,45469,44395, 114.17 ,49.10,49.40,103347,50785,51088,43.33433923,-84.0513121,4230,157,5.99,193803,94017,99786,8.3,69.7,18.1,0.2,1.2,0,149219,45034,25348,17.7,30.5,21.4,24.6,8.3,15.2,4,0.2,8.2,,1126.33,15779.88
248,Sanilac,MI,27.44,69.90,25.30,19243,13446,4873, 24.80 ,72.10,26.60,22446,16194,5966,43.42406072,-82.82055898,232,7,0.27,41535,20592,20943,3.7,94.1,0.6,0.3,0.4,0,32085,44417,23924,15,27,16.5,20.4,14,22.1,9.2,0.6,7.7,,244.63,3427.24
249,Schoolcraft,MI,5.92,61.60,33.00,4151,2556,1369, 5.24 ,65.10,33.50,4745,3090,1589,46.19235734,-86.19972234,102,1,0.04,8114,3977,4137,1,85.9,0.6,7.1,0.4,0,6624,37428,21534,21.4,25.5,24.9,21.3,13.6,14.7,5.9,0.1,13.9,,51.71,724.51
250,Shiawassee,MI,48.54,56.50,36.90,34044,19232,12547, 43.36 ,59.00,39.20,39250,23154,15371,42.953928,-84.14585902,787,34,1.30,68617,33807,34810,2.9,94.3,0.4,0.2,0.5,0,53302,50967,25218,13.1,28,16.7,22.8,12.4,20.2,6.5,0.2,7.1,,427.77,5993.01
251,St. Clair,MI,111.21,62.90,31.50,77994,49067,24553, 101.70 ,64.30,34.10,92064,59186,31363,42.92655373,-82.67937954,1726,65,2.48,159761,79295,80466,3.2,91.3,2,0.1,0.7,0,123535,53641,27807,13.3,27.8,18.7,22,10.5,21,4.7,0.1,7.6,,1003.36,14057.09
252,St. Joseph,MI,33.89,62.60,31.70,23765,14886,7529, 30.91 ,64.80,33.10,27982,18128,9262,41.91441767,-85.52797979,1371,24,0.92,60890,30264,30626,7.5,86.8,2.5,0.2,0.5,0,44242,47856,23702,15.7,24.4,15.1,18.6,9.2,32.7,5.7,0.2,5.3,,304.96,4272.52
253,Tuscola,MI,37.30,66.60,28.60,26157,17421,7493, 32.58 ,68.90,29.50,29495,20310,8713,43.46606813,-83.41897025,729,36,1.37,53569,26889,26680,3.2,93.7,1.1,0.3,0.3,0,41992,45495,23573,15.9,26.1,19.7,21.5,13.4,19.3,7.7,0.2,7.4,,321.45,4503.54
254,Van Buren,MI,47.36,53.90,39.90,33213,17890,13258, 43.15 ,55.30,43.00,39060,21591,16800,42.25190229,-86.01939087,1222,20,0.76,75190,37397,37793,11.2,81.5,3.1,0.4,0.6,0.1,55052,49119,25433,15.8,28.9,19,21.3,12.3,18.6,6.7,0.1,6.6,,425.70,5964.00
255,Washtenaw,MI,266.92,26.90,68.40,187201,50335,128025, 239.63 ,25.90,72.40,216924,56241,157130,42.253105,-83.83853204,5800,119,4.54,361509,178949,182560,4.5,70.6,11.7,0.2,8.7,0,269886,65618,37455,14.5,52.6,15.7,18.4,4.4,8.8,4.6,0.2,5.4,,2364.15,33121.75
256,Wayne,MI,1103.59,29.50,66.80,773983,228313,517022, 952.05 ,30.70,68.10,861821,264149,587074,42.28098405,-83.281255,42172,3060,116.79,1763822,848339,915483,5.7,49.7,38.9,0.3,3.1,0,1279502,43702,24847,23.7,31.9,20,23.9,6.9,17.4,3.7,0.1,11.6,,9392.58,131589.96
257,Wexford,MI,21.79,65.40,29.00,15279,10000,4436, 20.21 ,66.20,31.90,18292,12102,5838,44.33853602,-85.57712739,192,4,0.15,32915,16480,16435,1.8,94.8,0.6,0.5,0.7,0,25027,42793,22028,17.3,27.3,17,21.4,10.2,24.1,7.5,0.3,7.2,,199.36,2792.97
258,Adams,PA,0.79,66.30,29.90,47138,31249,14077, 0.83 ,66.30,32.20,56627,37563,18250,39.87140411,-77.21610347,1184,31,1.18,101589,50055,51534,6.8,89.5,1.4,0,0.7,0,78227,62661,29685,8.8,30.1,16.2,22.1,11,20.6,5.6,0.2,4.9,19355.82,5185.73,
259,Allegheny,PA,10.77,40.00,56.40,643173,257488,363017, 10.40 ,39.00,59.50,707837,275955,421004,40.46809875,-79.98167747,15940,419,15.99,1229605,593177,636428,2,79.1,12.7,0.1,3.5,0,961881,56333,35280,12.5,45,16.8,23.7,6.1,8.3,4.6,0.1,5.9,241947.57,64821.64,
260,Armstrong,PA,0.51,74.50,22.50,30446,22676,6849, 0.53 ,75.60,23.30,36111,27284,8406,40.81665618,-79.46290811,786,21,0.80,66737,33176,33561,0.7,97.3,1,0,0.2,0,53561,47527,25502,13,28.3,19,21.2,13.6,17.9,5,0,6.9,12343.19,3306.94,
261,Beaver,PA,1.32,58.30,38.20,79036,46081,30225, 1.37 ,58.10,40.60,93083,54108,37747,40.6825484,-80.34921611,2343,140,5.34,168161,81606,86555,1.5,89.7,5.9,0,0.5,0,134353,53981,29162,10.8,33.8,17.4,25.4,8.8,14.6,4.2,0.1,5.6,31816.94,8524.27,
262,Bedford,PA,0.39,82.80,15.40,23504,19455,3613, 0.41 ,83.50,15.80,27574,23025,4367,40.00522157,-78.48998442,462,7,0.27,48891,24404,24487,1.1,96.9,0.4,0.1,0.2,0,38863,48703,24219,13.6,25.7,18.3,21.2,13.4,21.4,8.6,0.3,5.9,9425.14,2525.15,
263,Berks,PA,2.95,52.90,42.70,175934,93094,75169, 2.91 ,53.40,45.20,198260,105941,89530,40.41570541,-75.92457766,9648,425,16.22,415500,204283,211217,19.6,73.2,4.1,0.1,1.4,0,307824,59580,29041,13.6,31.8,16.7,23.3,8.7,19.4,5.1,0.1,7.3,67767.76,18156.07,
264,Blair,PA,0.87,71.50,25.20,52029,37224,13093, 0.92 ,71.20,27.80,62784,44714,17425,40.47961444,-78.34917412,1456,32,1.22,124736,61106,63630,1.2,94.8,1.5,0,0.7,0,98433,45664,25531,15.2,31.2,18.6,25.3,8.8,16,4.9,0.2,5.2,21460.36,5749.57,
265,Bradford,PA,0.43,70.70,24.70,25399,17957,6263, 0.44 ,71.60,26.70,30143,21586,8044,41.78869215,-76.51570822,895,15,0.57,61546,30348,31198,1.4,96.1,0.6,0.1,0.6,0,47743,50900,26937,12.2,28.4,16.2,19.8,13.6,21.9,7,0.3,5.6,10303.26,2760.41,
266,Bucks,PA,5.74,47.80,48.40,342572,163873,165861, 5.72 ,47.30,51.60,389093,184149,200854,40.33682119,-75.10836643,10513,626,23.89,626486,307319,319167,5,84.8,3.8,0.2,4.5,0,476133,82031,41924,6.1,43.1,13.9,25.2,7.8,9.9,5.2,0.2,5.4,132996.87,35632.00,
